ID Lat Lon Dep Mag Strike Dip Rake
336 48.489189 -123.634717 21.007 0.6 -1234 -1234 -1234
340 48.493962 -123.637752 21.143 1 -1234 -1234 -1234
408 48.478866 -123.595711 17.358 0.9 -1234 -1234 -1234
412 48.509436 -123.66512 21.993 0.6 -1234 -1234 -1234
423 48.482296 -123.633219 20.007 0.7 -1234 -1234 -1234
466 48.490027 -123.66027 20.893 0.5 -1234 -1234 -1234
470 48.494775 -123.63208 22.868 1.4 -1234 -1234 -1234
529 48.500057 -123.666992 16.915 1.4 -1234 -1234 -1234
599 48.492403 -123.667253 20.709 0.7 -1234 -1234 -1234
661 48.493669 -123.610465 23.369 0.9 -1234 -1234 -1234
693 48.496484 -123.610042 25.598 0.9 -1234 -1234 -1234
694 48.508565 -123.651961 24.404 0.4 75 45 70
709 48.504386 -123.715438 23.635 0.3 -1234 -1234 -1234
712 48.504854 -123.70603 22.885 1.3 285 85 -160
743 48.49233 -123.642757 22.464 0.9 -1234 -1234 -1234
745 48.487154 -123.649618 20.531 0.3 -1234 -1234 -1234
763 48.498149 -123.633984 21.375 1.8 -1234 -1234 -1234
769 48.483883 -123.587777 21.822 0.7 -1234 -1234 -1234
838 48.491732 -123.633789 20.035 1.3 -1234 -1234 -1234
842 48.488924 -123.672127 19.95 0.9 -1234 -1234 -1234
905 48.485372 -123.616903 22.709 0.5 -1234 -1234 -1234
920 48.49412 -123.629061 22.124 0.3 -1234 -1234 -1234
944 48.492981 -123.642513 18.945 1 -1234 -1234 -1234
955 48.499939 -123.636344 23.301 1.6 200 85 20
1069 48.492147 -123.595695 22.018 0.6 -1234 -1234 -1234
1102 48.488114 -123.627865 25.397 0.4 260 69 159
1153 48.511723 -123.67946 24.88 1.1 -1234 -1234 -1234
1164 48.50898 -123.645304 22.089 0.8 17 75 13
1176 48.501086 -123.692627 22.013 0.7 290 41 96
1249 48.484005 -123.651799 20.487 0.3 -1234 -1234 -1234
1279 48.511686 -123.733846 19.242 1.4 -1234 -1234 -1234
1301 48.491097 -123.65804 20.967 0.9 -1234 -1234 -1234
1353 48.485815 -123.647241 19.913 0.9 -1234 -1234 -1234
1395 48.494556 -123.640641 23.011 0.7 -1234 -1234 -1234
1396 48.490584 -123.63999 24.243 1 -1234 -1234 -1234
1399 48.493933 -123.635661 25.141 1.2 -1234 -1234 -1234
1400 48.494954 -123.631193 24.999 3 -1234 -1234 -1234
1428 48.480115 -123.596875 20.985 0.7 -1234 -1234 -1234
1450 48.491691 -123.643001 23.844 0.1 -1234 -1234 -1234
1476 48.485274 -123.579663 23.8 1 -1234 -1234 -1234
1478 48.499304 -123.593595 20.811 0.5 -1234 -1234 -1234
1483 48.489583 -123.648722 20.834 1.4 -1234 -1234 -1234
1495 48.497298 -123.625391 25.578 0.5 -1234 -1234 -1234
1512 48.496997 -123.677775 19.034 1 -1234 -1234 -1234
1519 48.495162 -123.663745 21.039 1.2 -1234 -1234 -1234
1523 48.494641 -123.624097 21.129 0.7 -1234 -1234 -1234
962 48.481295 -123.568099 5.48 0.6 -1234 -1234 -1234
1517 48.502091 -123.588599 2.279 1.3 -1234 -1234 -1234
ID Lat Lon Dep Mag Strike Dip Rake
352 48.540857 -123.481852 22.75 1 -1234 -1234 -2468
354 48.540413 -123.467782 23.882 1 -1234 -1234 -2468
359 48.536161 -123.476196 21.892 2 -1234 -1234 -2468
361 48.537366 -123.478752 21.999 2.1 -1234 -1234 -2468
362 48.539494 -123.476742 22.002 0.9 -1234 -1234 -2468
363 48.539872 -123.4771 21.359 1.2 -1234 -1234 -2468
364 48.539836 -123.471338 21.157 0.8 -1234 -1234 -2468
365 48.536759 -123.468205 21.811 0.4 -1234 -1234 -2468
367 48.536015 -123.477148 21.975 1.9 -1234 -1234 -2468
420 48.554626 -123.481925 25.557 2 -1234 -1234 -2468
469 48.509469 -123.512524 28.048 1 -1234 -1234 -2468
472 48.528548 -123.529736 20.483 0.8 -1234 -1234 -2468
482 48.545398 -123.466366 24.926 0.9 -1234 -1234 -2468
530 48.516435 -123.490169 13.08 1.4 -1234 -1234 -2468
543 48.529537 -123.538892 19.668 1.2 -1234 -1234 -2468
544 48.551196 -123.473861 24.024 0.7 -1234 -1234 -2468
550 48.55411 -123.438883 23.429 1 -1234 -1234 -2468
564 48.560824 -123.473372 20.915 1.3 -1234 -1234 -2468
582 48.567 -123.544661 8.516 0.7 -1234 -1234 -2468
593 48.53925 -123.46661 21.726 1 -1234 -1234 -2468
621 48.390946 -123.497095 32.682 0.6 -1234 -1234 -2468
679 48.54657 -123.457992 20.243 1.6 -1234 -1234 -2468
701 48.500334 -123.510628 13.69 0.7 -1234 -1234 -2468
781 48.545504 -123.454289 23.005 1.3 -1234 -1234 -2468
799 48.53741 -123.499243 23.285 0.4 -1234 -1234 -2468
823 48.564315 -123.472477 22.107 1.1 -1234 -1234 -2468
879 48.528512 -123.536654 21.547 0.7 -1234 -1234 -2468
899 48.52581 -123.503451 23.799 1.1 -1234 -1234 -2468
900 48.520646 -123.501416 24.028 0.3 -1234 -1234 -2468
995 48.531213 -123.495288 19.564 1.5 -1234 -1234 -2468
999 48.510559 -123.522323 22.144 1.2 -1234 -1234 -2468
1017 48.518396 -123.529875 18.612 1.2 -1234 -1234 -2468
1030 48.529806 -123.50245 19.239 1.2 -1234 -1234 -2468
1133 48.550879 -123.43855 24.652 0.3 -1234 -1234 -1179
1187 48.536353 -123.489128 19.945 1 -1234 -1234 -2468
