ID,Lat,Lon,Dep,Mag
280,48.683691,-123.258634,20.482,0.7
283,48.591923,-123.108228,7.858,0.7
310,48.626530,-123.509041,42.315,0.8
335,48.690092,-123.223177,20.103,0.4
336,48.493660,-123.631405,22.177,0.6
337,48.462862,-123.483187,24.628,0.8
338,48.463009,-123.488534,24.912,0.6
339,48.622921,-123.007731,17.023,0.9
340,48.498332,-123.635368,21.963,1.0
341,48.500549,-123.259904,44.703,1.1
342,48.458541,-123.400977,27.059,1.1
343,48.217428,-123.277165,42.817,2.0
345,48.413586,-123.033236,28.572,1.1
346,48.377450,-123.284611,41.307,0.8
347,48.440617,-123.543018,8.692,0.8
348,48.572673,-123.540869,26.742,0.9
349,48.347807,-123.132104,46.595,0.6
350,48.572884,-123.548250,26.552,0.6
352,48.538371,-123.490552,25.475,1.0
353,48.609412,-123.002393,16.905,0.6
354,48.537052,-123.475529,26.908,1.0
355,48.639441,-123.151611,16.476,0.7
356,48.641044,-123.155973,17.849,0.7
359,48.533492,-123.484945,24.682,2.0
361,48.534635,-123.487020,24.939,2.1
362,48.537789,-123.474585,23.885,0.9
363,48.538281,-123.475065,23.461,1.2
364,48.538180,-123.469198,23.203,0.8
365,48.534562,-123.470874,24.202,0.4
366,48.697310,-123.304720,22.079,1.1
367,48.532910,-123.484839,24.627,1.9
369,48.449792,-123.419808,8.760,0.8
370,48.598197,-123.115625,7.365,1.0
371,48.598812,-123.111336,7.967,0.6
372,48.464758,-123.437646,22.604,1.2
373,48.625818,-123.037541,21.474,1.5
374,48.623645,-123.011393,17.802,0.9
375,48.625212,-123.013021,17.835,1.2
376,48.618949,-122.992008,14.876,0.9
379,48.645251,-123.056592,20.397,0.9
380,48.454264,-123.527051,13.641,0.8
381,48.647603,-123.159277,12.631,0.8
382,48.669092,-123.301050,24.566,1.0
384,48.492867,-123.788403,21.819,0.9
386,48.496468,-123.786816,20.610,0.7
388,48.241715,-123.123185,19.957,0.8
390,48.587268,-123.083553,10.715,0.6
392,48.477999,-123.366089,25.278,0.6
396,48.533984,-123.094084,44.354,0.9
397,48.600313,-123.037345,17.837,1.2
398,48.602344,-123.052661,15.217,0.4
399,48.598551,-123.030086,17.424,1.2
400,48.237655,-123.285229,38.309,0.9
401,48.590153,-123.042147,13.778,0.5
402,48.593258,-123.029411,16.648,0.4
403,48.583329,-123.025789,12.816,0.7
404,48.301811,-123.423861,12.727,2.0
405,48.600472,-123.041154,16.199,0.5
406,48.216081,-123.117334,9.498,1.0
407,48.598844,-123.106087,9.550,1.8
408,48.485917,-123.594539,18.391,0.9
409,48.618734,-123.020443,16.966,1.3
410,48.387931,-123.081600,20.844,1.1
411,48.648556,-123.151017,55.123,1.9
412,48.513062,-123.662134,22.835,0.6
413,48.464608,-123.222762,22.116,1.0
415,48.608321,-123.030623,16.760,1.3
416,48.442586,-123.396045,20.355,1.5
417,48.633781,-123.149178,14.156,0.5
418,48.616321,-123.005623,18.382,0.8
419,48.596464,-123.098877,9.251,0.7
420,48.553088,-123.482422,27.487,2.0
421,48.604553,-123.040641,18.105,0.8
422,48.595601,-123.031356,17.865,2.0
423,48.486426,-123.630347,20.955,0.7
424,48.447131,-123.419914,12.567,1.0
425,48.634843,-123.037671,21.185,0.6
426,48.650085,-123.349536,22.504,1.8
427,48.439278,-123.003646,25.925,1.0
428,48.591972,-123.027816,16.831,0.7
429,48.603389,-123.055379,18.002,0.4
430,48.365247,-123.474235,20.645,0.5
431,48.464526,-123.105794,30.005,1.0
434,48.505990,-123.297437,29.508,0.5
435,48.583647,-123.097241,6.140,1.0
436,48.414237,-123.415828,4.165,0.8
437,48.412968,-123.130794,27.751,1.1
438,48.648710,-123.220125,23.974,0.7
439,48.640609,-123.679411,25.302,1.9
440,48.622437,-123.100488,9.415,0.7
441,48.278223,-123.074992,43.597,1.0
442,48.462081,-123.466195,9.854,1.4
443,48.220817,-123.127913,7.601,1.0
444,48.490670,-123.235221,32.369,1.3
445,48.609391,-123.040332,14.356,0.6
446,48.241060,-123.136434,18.965,1.1
448,48.584489,-123.121265,8.324,1.3
449,48.600301,-123.619019,23.138,1.8
450,48.593982,-123.048535,15.610,0.8
451,48.597607,-123.034619,18.090,0.8
453,48.473234,-123.529858,17.397,1.0
454,48.457279,-123.296045,20.549,2.0
455,48.455200,-123.296395,22.055,0.7
